------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : false
  Subproblem structure                      : (min, max)
    Variables                               : (157, 157)
    VariableRef in MOI.LessThan{Float64}    : (144, 145)
    VariableRef in MOI.GreaterThan{Float64} : (149, 149)
    AffExpr in MOI.EqualTo{Float64}         : (9, 9)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [4e-06, 1e+00]
  Non-zero Bounds range     [7e-01, 2e+05]
  Non-zero RHS range        [7e+03, 5e+04]
WARNING: numerical stability issues detected
  - Objective range contains small coefficients
Very large or small absolute values of coefficients
can cause numerical stability issues. Consider
reformulating the model.

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    1.398493e+05   2.346495e+02   1.508676e+00          1       4899
        2    8.518593e+04   1.606887e+04   2.951840e+00          1       9798
        3    9.878621e+04   1.606887e+04   4.403921e+00          1      14697
        4    9.082769e+04   3.514318e+04   5.844832e+00          1      19596
        5    6.457619e+04   3.514780e+04   7.263595e+00          1      24495
        6    5.677774e+04   3.538514e+04   8.698763e+00          1      29394
        7    4.769209e+04   3.550290e+04   1.015072e+01          1      34293
        8    4.268731e+04   4.159832e+04   1.161023e+01          1      39192
        9    8.420316e+04   4.167732e+04   1.307512e+01          1      44091
       10    6.696098e+04   4.167732e+04   1.450728e+01          1      48990
       11    6.708248e+04   4.816518e+04   1.597330e+01          1      53889
       12    7.548815e+04   4.817688e+04   1.742147e+01          1      58788
       13    5.755903e+04   4.817922e+04   1.889359e+01          1      63687
       14    6.151976e+04   4.818366e+04   2.039722e+01          1      68586
       15    7.348987e+04   4.819556e+04   2.193104e+01          1      73485
       16    7.146053e+04   4.819556e+04   2.340517e+01          1      78384
       17    6.100581e+04   5.032835e+04   2.487191e+01          1      83283
       18    7.349894e+04   5.092937e+04   2.635835e+01          1      88182
       19    7.181237e+04   5.092962e+04   2.779969e+01          1      93081
       20    4.281266e+04   5.094330e+04   2.927928e+01          1      97980
       21    5.270971e+04   5.192034e+04   3.076506e+01          1     102879
       22    5.217497e+04   5.193025e+04   3.223375e+01          1     107778
       23    5.733050e+04   5.194656e+04   3.368285e+01          1     112677
       24    8.357232e+04   5.197757e+04   3.517101e+01          1     117576
       25    7.392448e+04   5.208841e+04   3.666640e+01          1     122475
       26    5.872525e+04   5.208885e+04   3.815889e+01          1     127374
       27    5.494182e+04   5.210207e+04   3.963230e+01          1     132273
       28    5.873464e+04   5.344233e+04   4.110725e+01          1     137172
       29    4.863533e+04   5.352727e+04   4.259626e+01          1     142071
       30    6.268506e+04   5.364815e+04   4.416738e+01          1     146970
       31    7.682040e+04   5.365311e+04   4.563306e+01          1     151869
       32    9.797990e+04   5.380779e+04   4.713114e+01          1     156768
       33    4.276876e+04   5.382059e+04   4.862890e+01          1     161667
       34    5.020431e+04   5.382059e+04   5.012666e+01          1     166566
       35    5.978380e+04   5.382999e+04   5.162663e+01          1     171465
       36    6.550167e+04   5.383016e+04   5.309221e+01          1     176364
       37    5.316701e+04   5.395664e+04   5.458977e+01          1     181263
