------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-21

Problem
  Nodes           : 60
  State variables : 4
  Scenarios       : 8.22275e+112
  Existing cuts   : true
  Subproblem structure                      : (min, max)
    Variables                               : (158, 158)
    VariableRef in MOI.EqualTo{Float64}     : (8, 8)
    VariableRef in MOI.LessThan{Float64}    : (145, 146)
    AffExpr in MOI.GreaterThan{Float64}     : (9, 343)
    AffExpr in MOI.EqualTo{Float64}         : (9, 11)
    VariableRef in MOI.GreaterThan{Float64} : (150, 150)
Options
  Solver          : serial mode
  Risk measure    : SDDP.Expectation()
  Sampling scheme : SDDP.InSampleMonteCarlo

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
        1    6.364921e+04   6.568273e+04   1.709011e+00          1    1675465
        2    8.468420e+04   6.568848e+04   3.445059e+00          1    1680364
        3    8.153197e+04   6.568273e+04   5.187736e+00          1    1685263
        4    7.389768e+04   6.568933e+04   6.915034e+00          1    1690162
        5    8.378619e+04   6.716443e+04   8.649104e+00          1    1695061
        6    9.016839e+04   6.716796e+04   1.038821e+01          1    1699960
        7    5.735246e+04   6.717454e+04   1.213613e+01          1    1704859
        8    8.973433e+04   6.766834e+04   1.388060e+01          1    1709758
        9    8.387235e+04   6.772497e+04   1.560574e+01          1    1714657
       10    7.679788e+04   6.778380e+04   1.733642e+01          1    1719556
       11    9.029194e+04   6.866068e+04   1.907749e+01          1    1724455
       12    1.031327e+05   6.884396e+04   2.082264e+01          1    1729354
       13    5.683144e+04   6.884878e+04   2.257708e+01          1    1734253
       14    9.525472e+04   6.885398e+04   2.434608e+01          1    1739152
       15    8.427933e+04   6.885435e+04   2.611398e+01          1    1744051
       16    7.971432e+04   6.916695e+04   2.788311e+01          1    1748950
       17    9.049258e+04   6.931403e+04   2.965594e+01          1    1753849
       18    6.381280e+04   6.947776e+04   3.139934e+01          1    1758748
       19    8.831861e+04   7.208187e+04   3.316375e+01          1    1763647
       20    8.277107e+04   7.208874e+04   3.492666e+01          1    1768546
       21    6.935522e+04   7.209789e+04   3.669598e+01          1    1773445
       22    7.527376e+04   7.239731e+04   3.847270e+01          1    1778344
       23    6.043670e+04   7.240141e+04   4.023585e+01          1    1783243
       24    6.773485e+04   7.240904e+04   4.203368e+01          1    1788142
       25    6.861344e+04   7.244144e+04   4.380872e+01          1    1793041
       26    7.015235e+04   7.244470e+04   4.558079e+01          1    1797940
       27    7.393048e+04   7.245439e+04   4.735335e+01          1    1802839
       28    8.312643e+04   7.245483e+04   4.912175e+01          1    1807738
       29    6.657869e+04   7.246016e+04   5.090957e+01          1    1812637
       30    7.206076e+04   7.248072e+04   5.268661e+01          1    1817536
       31    8.735632e+04   7.249032e+04   5.447786e+01          1    1822435
       32    7.059141e+04   7.249303e+04   5.627820e+01          1    1827334
       33    5.999087e+04   7.249693e+04   5.806069e+01          1    1832233
       34    8.564759e+04   7.292065e+04   5.984122e+01          1    1837132
       35    6.817177e+04   7.292463e+04   6.163789e+01          1    1842031
       36    5.425053e+04   7.293308e+04   6.343167e+01          1    1846930
       37    9.023967e+04   7.293342e+04   6.521421e+01          1    1851829
       38    9.215569e+04   7.307881e+04   6.700073e+01          1    1856728
       39    8.248695e+04   7.323516e+04   6.878494e+01          1    1861627
       40    7.021848e+04   7.323904e+04   7.057979e+01          1    1866526
       41    9.897394e+04   7.331072e+04   7.238903e+01          1    1871425
       42    7.089674e+04   7.331422e+04   7.416966e+01          1    1876324
       43    7.108883e+04   7.335341e+04   7.594875e+01          1    1881223
       44    1.026710e+05   7.336241e+04   7.775186e+01          1    1886122
       45    8.681145e+04   7.343289e+04   7.954804e+01          1    1891021
       46    6.828242e+04   7.343985e+04   8.136883e+01          1    1895920
